70r3nZo;15/06/2016 13:54;0;0;Back to # uk before the # brexit @Gatwick Airport https://www.instagram.com/p/BGrJZOBlHHU/;;@Gatwick;# #;7,43049E+17;https://twitter.com/70r3nZo/status/743048924433375236
ADAHuddersfield;15/06/2016 18:13;0;0;We're getting ready for the 'BREXIT - its impact on the Design and Construction sector' Public… https://www.instagram.com/p/BGrnI3BjCmm/;;;;7,43114E+17;https://twitter.com/ADAHuddersfield/status/743114333991927808
ADAHuddersfield;15/06/2016 18:36;0;0;Our 'BREXIT - its impact on the Design and Construction sector' public debate is just kicking… https://www.instagram.com/p/BGrptL2DCtm/;;;;7,4312E+17;https://twitter.com/ADAHuddersfield/status/743119980296867840
AHairyBiker;20/06/2016 20:29;0;0;Cant help thinking even if we don't Brexit the EU is going to make our lives very difficult because we put their dictatorship at risk.;;;;7,4496E+17;https://twitter.com/AHairyBiker/status/744960463574827008
Abdelkrim;19/06/2016 09:28;0;0;i hope that UK will be out when i come back from the # PromisedLand # Brexit Choose Values vs. Money (@Tarmac) https://www.swarmapp.com/c/agLzZsWNzJa;;@Tarmac;# #;7,44432E+17;https://twitter.com/Abdelkrim/status/744431727184064512
AdrienneKlasa;16/06/2016 11:22;0;0;no but seriously, go out and vote # Brexit # remain # iwanteu @Brussels, Belgium https://www.instagram.com/p/BGtcz11JGSN/;;@Brussels;# # #;7,43373E+17;https://twitter.com/AdrienneKlasa/status/743373095113719808
Alex_Paju;15/06/2016 14:26;0;0;Si se aprueba el BREXIT (referendum para que se quite GBretaña de U.E) nos quitan el Ingles en el exmen? XD;;;;7,43057E+17;https://twitter.com/Alex_Paju/status/743057056433905664
AlexeyShmatko;17/06/2016 12:57;0;0;На польском магазине призывают остаться в ЕС. # Swansea # Wales # UK # Brexit @Swansea railway station https://www.instagram.com/p/BGwMfbdEMT_/;;@Swansea;# # # #;7,43759E+17;https://twitter.com/AlexeyShmatko/status/743759429099651072
AliceVernice;18/06/2016 21:48;0;0;# Brexit # soho # remain # dontforgettovote # Churchill # brit @Soho https://www.instagram.com/p/BGzuHXcQDzO/;;@Soho;# # # # # #;7,44256E+17;https://twitter.com/AliceVernice/status/744255579778998272
Andrew_H;19/06/2016 19:23;0;0;Brexit Country @The Odney Club - JLP https://www.instagram.com/p/BG2CQtHRA1W/;;@The;;7,44581E+17;https://twitter.com/Andrew_H/status/744581352180178944
Andrew_H;19/06/2016 19:24;0;0;Brexit Country part deux @Crown Cookham https://www.instagram.com/p/BG2CX4MRA1y/;;@Crown;;7,44582E+17;https://twitter.com/Andrew_H/status/744581598541156353
Andrew_H;19/06/2016 22:22;0;0;Brexit Country part 3 @North Star Iver https://www.instagram.com/p/BG2WwHCxA-Y/;;@North;;7,44626E+17;https://twitter.com/Andrew_H/status/744626411747553281
AndyRFCCharman;15/06/2016 19:27;1;1;# Farage says EU to blame for UK fishing problems. Greenpeace say he's wrong, UK Govt to blame. # Brexit liar & racist # StrongerIn # VoteRemain;;;# # # #;7,43133E+17;https://twitter.com/AndyRFCCharman/status/743132873214070788
AndyRFCCharman;15/06/2016 19:44;0;0;# Brexit claim UK fishing gains but ignore losses from EU! Its how their whole deceitful economic model works. Don't be conned # VoteRemain;;;# #;7,43137E+17;https://twitter.com/AndyRFCCharman/status/743137113466675200
