username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Burkley91;2016-06-22 01:17;0;0;"# Brexit";;;#;"745395305353351169";https://twitter.com/Burkley91/status/745395305353351169
DavidWoodhead26;2016-06-22 00:45;0;0;"After Brexit no UK football teams will be allowed to compete in the European Champions Cup,The UEFA Cup or the Rider Cup";;;;"745387161130762241";https://twitter.com/DavidWoodhead26/status/745387161130762241
CamillaKerslake;2016-06-22 00:43;0;5;"# RicoRobshaw contemplating # Brexit. . # VoteRemain # ImIn # StrongerTogether # TogetherStronger @… https://www.instagram.com/p/BG7wiTtMS75/";;@;# # # # # #;"745386799690768385";https://twitter.com/CamillaKerslake/status/745386799690768385
DavidWoodhead26;2016-06-22 00:16;0;1;"# StrongerIn After # Brexit the UK will not be allowed to enter the Eurovision Song Contest..oh wait !";;;# #;"745379983690981376";https://twitter.com/DavidWoodhead26/status/745379983690981376
DavidWoodhead26;2016-06-22 00:15;0;0;"# StrongerIn After # Brexit,No UK citizens will be allowed to travel on Eurostar";;;# #;"745379644719796226";https://twitter.com/DavidWoodhead26/status/745379644719796226
PeteBarronMedia;2016-06-21 23:34;2;4;"“ @ TheSun: Tomorrow's front page: The Queen has been quizzing dinner guests about # Brexit http://thesun.uk/6016BQKsE  pic.twitter.com/f3FpodKW1g”";;@;#;"745369298349211648";https://twitter.com/PeteBarronMedia/status/745369298349211648
kennymcgizzle;2016-06-21 23:29;0;0;"# BREXIT?? @Bristol, United Kingdom https://www.instagram.com/p/BG7oCkwmym8/";;@Bristol;#;"745368116545327104";https://twitter.com/kennymcgizzle/status/745368116545327104
jorkvicboy;2016-06-21 23:19;0;2;"Vote # brexit otherwise this will be the English channel by next year # voteout # EUpic.twitter.com/cNLyAGRNrx";;;# # #;"745365546405769216";https://twitter.com/jorkvicboy/status/745365546405769216
andrewhistorian;2016-06-21 23:14;2;0;"" @ ConversationUK: There's never been greater academic consensus among economists that Brexit would be bad for UK http://bit.ly/1TGbkdm "";;@;;"745364276207026176";https://twitter.com/andrewhistorian/status/745364276207026176
LucindaParker22;2016-06-21 22:57;0;1;"UP YOURS EU. # VoteLeave # Brexit # eureferendum # TakeBackControl # independenceday # uk… https://www.instagram.com/p/BG7kX5njb7w/";;;# # # # # #;"745360058679123968";https://twitter.com/LucindaParker22/status/745360058679123968
timjamesharris;2016-06-21 22:52;0;0;"# Brexit";;;#;"745358785485676545";https://twitter.com/timjamesharris/status/745358785485676545
alwynprice21;2016-06-21 22:49;0;1;"Kamal people going on hols in europe will lose more than £38 this week we brexit on exchange rate # bbcdebate";;;#;"745358070381940736";https://twitter.com/alwynprice21/status/745358070381940736
PatriceTroost;2016-06-21 22:46;0;0;"# bbc # thegreatdebate # brexit to be in Europe or not to be in Europe, what is it gonna be?… https://www.instagram.com/p/BG7jEF2NBOu/";;;# # #;"745357174193459204";https://twitter.com/PatriceTroost/status/745357174193459204
JezzaTrev;2016-06-21 22:37;1;2;"Granny contemplates # Brexit on his phone.... @The Balcon https://www.instagram.com/p/BG7iE1jo_gf/";;@The;#;"745355000545705984";https://twitter.com/JezzaTrev/status/745355000545705984
DailySHROPSHIRE;2016-06-21 22:25;0;0;"EU referendum: Brexit trucks convoy heads to London from Shropshire http://j.mp/28PDSDI # Shropshirepic.twitter.com/zwAmSaM7hK";;;#;"745351872282660864";https://twitter.com/DailySHROPSHIRE/status/745351872282660864
DailyBEDS;2016-06-21 22:14;1;0;"Pub regulars urged to back Brexit to protect ‘Queen’s Head’ http://goo.gl/wkLg2L # Bedfordshirepic.twitter.com/TvlQFDYgQO";;;#;"745349101856792577";https://twitter.com/DailyBEDS/status/745349101856792577
alwynprice21;2016-06-21 22:11;0;0;"want a job in the post brexit team? Gushing over turkey lies again # thingsthatarewellbrexit";;;#;"745348430298488833";https://twitter.com/alwynprice21/status/745348430298488833
DailyCAMBRIDGE;2016-06-21 21:26;0;0;"‘Hope not fear’ the message of Iain Duncan Smith as he brings his Brexit… http://j.mp/28MzdFd # Cambridgeshirepic.twitter.com/0vzI0yNvna";;;#;"745337037927047168";https://twitter.com/DailyCAMBRIDGE/status/745337037927047168
fscxavierfelix;2016-06-21 21:21;0;0;"BREXIT... @London, United Kingdom https://www.instagram.com/p/BG7ZZXXMeyaWjabaVvMuK7p9WVYzy1mRdGUBfE0/ …";;@London;;"745335920950284288";https://twitter.com/fscxavierfelix/status/745335920950284288
elpgb;2016-06-21 21:21;0;0;"Oh the irony people voted for Cameron and hate what he has done so they intend to vote brexit full of the most right wing destroyers 1/2";;;;"745335766197407745";https://twitter.com/elpgb/status/745335766197407745
Zorzinio;2016-06-21 20:41;0;0;"Το ποτάμι πισω δεν γυρνά. # imin # brexit # brexit # γραφικος # εξαθλίωση @London, United Kingdom https://www.instagram.com/p/BG7U1BBiHWF/";;@London;# # # # #;"745325868558462976";https://twitter.com/Zorzinio/status/745325868558462976
johnmaccann;2016-06-21 20:23;0;0;"For the first time in 18 years, I don't feel welcome in Britain tks to # EUref http://gu.com/p/4ma6j?CMP=Share_AndroidApp_Twitter … # InOrOut #brexit # HopeNotHate";;;# # #brexit #;"745321247064625153";https://twitter.com/johnmaccann/status/745321247064625153
johnmaccann;2016-06-21 20:01;0;0;"Cameron: Brexiters stoking intolerance with immigration obsession http://gu.com/p/4m9p7?CMP=Share_AndroidApp_Twitter … hypocrisy but right # EUref # Brexit # InOrOut";;;# # #;"745315619353075713";https://twitter.com/johnmaccann/status/745315619353075713
DailyOXFORD;2016-06-21 19:55;1;0;"'Brexit' plane set to cross Oxford this evening http://j.mp/28SqbE1 # Oxonpic.twitter.com/QbXD63FwG1";;;#;"745314268090753033";https://twitter.com/DailyOXFORD/status/745314268090753033
DailyNORFOLK;2016-06-21 19:51;0;0;"VIDEO: Iain Duncan Smith makes Brexit case during # KingsLynn walkabout http://j.mp/28SoTJ5 # Norfolkpic.twitter.com/yFJvxUzmwE";;;# #;"745313146294796289";https://twitter.com/DailyNORFOLK/status/745313146294796289
Newsminster;2016-06-21 19:42;0;0;"Cameron: Brexit camp stoking intolerance with immigration obsession http://bit.ly/28SmfDc # Politicspic.twitter.com/KBQ1BgW6JG";;;#;"745310970910670848";https://twitter.com/Newsminster/status/745310970910670848
iancharris;2016-06-21 19:42;0;0;"Amazing # Remain say # Brexit is a huge gamble & unknown yet claim to know within £10 per person how much worse of we will be if we leave?";;;# #;"745310904175235072";https://twitter.com/iancharris/status/745310904175235072
GuardianTrustFX;2016-06-21 19:27;0;0;"# Forex Pro - Trapped Traders® Daily Analysis - Buying # AUDCHF https://youtu.be/2QXN84HFBcA  via @ YouTube # Grexit # Brexit # Bremain";;@;# # # # #;"745307269173284864";https://twitter.com/GuardianTrustFX/status/745307269173284864
DailySOMERSET;2016-06-21 19:27;0;0;"EU Referendum: Brexit battle bus and Michael Gove MP coming to... http://j.mp/28Sh4Dw # Somerset";;;#;"745307094593609728";https://twitter.com/DailySOMERSET/status/745307094593609728
GuardianTrustFX;2016-06-21 19:27;0;0;"# Forex Pro - Forex Update: Buying # USDCAD into the Support Zone https://youtu.be/D3GRL5AgyLc  via @ YouTube # Brexit # EU";;@;# # # #;"745307064654831616";https://twitter.com/GuardianTrustFX/status/745307064654831616
jaycrossland30;2016-06-21 19:13;0;0;"I'm voting leave, roll on Thursday, be proud of who you are # brexit # brexitdebate # brexit2016… https://www.instagram.com/p/BG7KrTxDDIB/";;;# # #;"745303551149150209";https://twitter.com/jaycrossland30/status/745303551149150209
SallyBuchanan11;2016-06-21 19:10;0;0;""Stitches speak louder than words" the making of 2016-2066. # freeart # voteleave # brexit… https://www.instagram.com/p/BG7KVWjhsTR/";;;# # #;"745302793565642752";https://twitter.com/SallyBuchanan11/status/745302793565642752
Federicosi;2016-06-21 19:03;3;0;"# Brexit in a sentimental mood @ radiopopmilano @ dario_falcinipic.twitter.com/KBThIIfBYz";;@ @;#;"745301194256580608";https://twitter.com/Federicosi/status/745301194256580608
lizmcshane;2016-06-21 18:42;0;0;"@ PinsentMasons : More questions than answers not to mention uncertainty If we # brexit # EuRef";;@;# #;"745295789434478594";https://twitter.com/lizmcshane/status/745295789434478594
Newsminster;2016-06-21 18:36;0;0;"A Disunited Kingdom: Views on the Brexit Differ in England, Wales, Scotland and… http://huff.to/28RZJdN # Politicspic.twitter.com/r8fP1vDn5k";;;#;"745294277211611142";https://twitter.com/Newsminster/status/745294277211611142
lizmcshane;2016-06-21 18:34;0;0;"@ PinsentMasons: There is not enough bandwidth in the UK civil service to renegotiate all the different trade deals if we # brexit # EUref";;@;# #;"745293951217860609";https://twitter.com/lizmcshane/status/745293951217860609
DailyESSEX;2016-06-21 18:19;0;0;"# Essex: 'Political pirate' Nigel Farage takes to the waves as Brexit campaign hits Harwich http://j.mp/28RTJBJ pic.twitter.com/qPEYP3wlzy";;;#;"745290165229236224";https://twitter.com/DailyESSEX/status/745290165229236224
mike_rat;2016-06-21 18:08;0;1;"This is a real worry - whatever the # Brexit outcome, people making huge contributions being made to feel unwelcome http://gu.com/p/4ma6j/stw";;;#;"745287334728466432";https://twitter.com/mike_rat/status/745287334728466432
tommyhare82;2016-06-21 18:06;0;0;"Me and Winnie want u to vote # Remain # churchill # brexit # eureferendum # strongerin Let's get… https://www.instagram.com/p/BG7DCr_JV58/";;;# # # # #;"745286762763685890";https://twitter.com/tommyhare82/status/745286762763685890
Newsminster;2016-06-21 18:03;0;0;"The Business Case for Brexit http://huff.to/28LVEKL # Politicspic.twitter.com/hUpXu2BtMr";;;#;"745286052542242818";https://twitter.com/Newsminster/status/745286052542242818
Rich___Jones;2016-06-21 17:59;0;0;"The truth: Brexit is a fake revolt - working-class culture is being hijacked to help the elite | Paul Mason http://gu.com/p/4m4pc/stw";;;;"745284997247021057";https://twitter.com/Rich___Jones/status/745284997247021057
walkergarden;2016-06-21 16:52;0;0;"No country by itself! Wolfgang Tillmans against Brexit wolfgang_tillmans # Brexit # EU… https://www.instagram.com/p/BG66oLaH7Ip/";;;# #;"745268255393222656";https://twitter.com/walkergarden/status/745268255393222656
LNACurrie;2016-06-21 16:23;32;30;"We know which side She will be supporting. https://twitter.com/Fight4UK/status/745257995261579265/photo/1pic.twitter.com/TliUWEza30 # voteleave # Brexit";;;# #;"745260911741571072";https://twitter.com/LNACurrie/status/745260911741571072
AndyRFCCharman;2016-06-21 16:17;0;0;"Its a sad state of affairs when pro # Brexit 'Justice Secretary' Gove is branded a liar by own dad re false EU fisheries claim. # VoteRemain";;;# #;"745259411468357633";https://twitter.com/AndyRFCCharman/status/745259411468357633
andreagoe;2016-06-21 16:04;0;0;"Countdown... # UKreferendum # brexit # UKremain # EuropeanUnion # EU # UniónEuropea # politics… https://www.instagram.com/p/BG61FTtQHkK/";;;# # # # # # #;"745256061398036481";https://twitter.com/andreagoe/status/745256061398036481
Newsminster;2016-06-21 15:55;0;0;"Northern Ireland’s greatest fear from a Brexit is the return to conflict |… http://bit.ly/28R7q45 # Politicspic.twitter.com/X8dijVebX6";;;#;"745253855571542016";https://twitter.com/Newsminster/status/745253855571542016
DailyBRUM;2016-06-21 15:42;0;0;"Midlands Engine boss:Brexit threatens foundations of our plans http://j.mp/28Lxcsz # Birminghampic.twitter.com/ayC3uefRse";;;#;"745250461557481474";https://twitter.com/DailyBRUM/status/745250461557481474
