username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
cameronfhill;2016-05-19 23:57;0;1;"Wanting # brexit is not racist, calling all Polish people scroungers is racist. Simples. # bbcqt";;;# #;"733416334214627328";https://twitter.com/cameronfhill/status/733416334214627328
faltskog5450;2016-05-17 12:26;0;0;"The leftwing case for Brexit (one day) http://www.theguardian.com/commentisfree/2016/may/16/brexit-eu-referendum-boris-johnson-greece-tory … @ davidschneider";;@;;"732517667026948098";https://twitter.com/faltskog5450/status/732517667026948098
Gasdoc2857;2016-05-15 00:39;0;1;"# BreakingNews rumors that Australia will replace UK if # brexit confirmed";;;# #;"731614987869945856";https://twitter.com/Gasdoc2857/status/731614987869945856
Gasdoc2857;2016-05-14 22:08;0;1;"have they taken our place ahead of # brexit? # Eurovision";;;# #;"731576940910481408";https://twitter.com/Gasdoc2857/status/731576940910481408
Gasdoc2857;2016-05-14 21:14;0;0;"Why can't we text vote in # Eurovision. Is something to do with @ David_Cameron renegotiated settlement to try to stop # Brexit";;@;# #;"731563259866808324";https://twitter.com/Gasdoc2857/status/731563259866808324
SusieAmy;2016-05-07 14:25;0;2;"Brexit debate with my dad. Some location for it! @Trump International Golf Links https://www.instagram.com/p/BFGx94aL6fU/";;@Trump;;"728923658316566528";https://twitter.com/SusieAmy/status/728923658316566528
faltskog5450;2016-03-20 12:45;0;0;"@ ThomasPride all I remember about # marr was backside covering for him in # brexit & at end where he sounded like he was crying Hilarious";;@;# #;"711518924492423169";https://twitter.com/faltskog5450/status/711518924492423169
faltskog5450;2016-03-20 10:42;0;0;"# ids is saving his own # brexit arse Hes making it look like he cares about normal people Hilarious! Best laugh I've had since my breakdown";;;# #;"711488102867582976";https://twitter.com/faltskog5450/status/711488102867582976
geunson;2016-03-02 11:14;0;0;"@ Poulin2012 @ pietercleppe a valid reason to vote against # brexit UK keeps EU competitive! @ Britainineu @ vote_leave";;@ @ @ @;#;"704973124526338048";https://twitter.com/geunson/status/704973124526338048cameronfhill;2016-05-19 23:57;0;1;"Wanting # brexit is not racist, calling all Polish people scroungers is racist. Simples. # bbcqt";;;# #;"733416334214627328";https://twitter.com/cameronfhill/status/733416334214627328
Gasdoc2857;2016-05-15 00:39;0;1;"# BreakingNews rumors that Australia will replace UK if # brexit confirmed";;;# #;"731614987869945856";https://twitter.com/Gasdoc2857/status/731614987869945856
Gasdoc2857;2016-05-14 22:08;0;1;"have they taken our place ahead of # brexit? # Eurovision";;;# #;"731576940910481408";https://twitter.com/Gasdoc2857/status/731576940910481408
Gasdoc2857;2016-05-14 21:14;0;0;"Why can't we text vote in # Eurovision. Is something to do with @ David_Cameron renegotiated settlement to try to stop # Brexit";;@;# #;"731563259866808324";https://twitter.com/Gasdoc2857/status/731563259866808324
