username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BeerBizDaily;2016-06-21 22:49;1;0;"3 million quid spent by each side on # brexit. That's a county commissioner primary in the US.";;;#;"745357956665925633";https://twitter.com/BeerBizDaily/status/745357956665925633
BeerBizDaily;2016-06-21 22:44;1;3;"I love how cute Britain is. Most important vote modern history, each side spends 3 million quid promoting. # brexit pic.twitter.com/HZcqg6iIJ8";;;#;"745356753768853505";https://twitter.com/BeerBizDaily/status/745356753768853505
DavidLiles3;2016-06-21 20:48;0;0;"Soros Says Brexit Would Make Some Speculators Rich, Voters Poor http://www.newsmax.com/Newsfront/BIZNEWS-BNALL-BNCOPY-BNCOPY2/2016/06/20/id/734782 … # Newsmax via @Newsmax_Media";;@Newsmax_Media;#;"745327640723087361";https://twitter.com/DavidLiles3/status/745327640723087361
kolmar;2016-06-21 16:04;0;0;"# brexit @Austin, Texas https://www.instagram.com/p/BG61EWqoOfI/";;@Austin;#;"745256027780694016";https://twitter.com/kolmar/status/745256027780694016
thebenlove;2016-06-20 20:54;0;0;"The nonstop stream of remainers on @ CNBC is annoying. # Brexit @ DanHannanMEP";;@ @;#;"744966691080175617";https://twitter.com/thebenlove/status/744966691080175617
spinning_will;2016-06-20 20:16;0;0;"Take it to'em # 3lions # COYS You too # Wales. Y'all got me nervous with the BRexit vote, but that's none of my business. # EURO2016";;;# # # #;"744957084681248769";https://twitter.com/spinning_will/status/744957084681248769
BeerBizDaily;2016-06-20 18:08;0;0;"John Oliver on Brexit. Absolutely Brilliant. RT Last Week Tonight with John Oliver: Brexit (HBO) https://youtu.be/iAgKHSNqxa8";;;;"744924945583484929";https://twitter.com/BeerBizDaily/status/744924945583484929
irishgdp;2016-06-16 14:07;0;1;"As sovereign interest rates go negative and BREXIT looms, investors around the world only have one true hope: $ TWTR";;;;"743414643431923713";https://twitter.com/irishgdp/status/743414643431923713
MilwaukeeCP;2016-06-16 12:35;0;0;"What will immigration look like under Brexit? http://dlvr.it/LZVmwc";;;;"743391426034077696";https://twitter.com/MilwaukeeCP/status/743391426034077696
BaltimoreCP;2016-06-16 12:21;0;0;"What will immigration look like under Brexit? http://dlvr.it/LZW1Pl";;;;"743388063934472192";https://twitter.com/BaltimoreCP/status/743388063934472192
kinney;2016-06-15 22:40;0;0;"The ‘Next London’ is still London. Ignore all Brexit scare tactics. “The jostling for London bankers has begun.” http://on.ft.com/1U9IX8f @ FT";;@;;"743181323930570752";https://twitter.com/kinney/status/743181323930570752
LoansHomes;2016-06-15 08:22;0;0;"Real Estate Woes Run Deeper Than Brexit, Signaling U.K. Slowdown http://dlvr.it/LZ01JW # Granada Hills";;;#;"742965535521017856";https://twitter.com/LoansHomes/status/742965535521017856
EnriqueCampos7;2016-06-15 08:22;0;0;"Real Estate Woes Run Deeper Than Brexit, Signaling U.K. Slowdown http://dlvr.it/LZ01F2";;;;"742965528373907456";https://twitter.com/EnriqueCampos7/status/742965528373907456
nathirhussein;2016-06-15 07:19;1;0;"about Brexit? What about gun stocks?";;;;"742949621278908418";https://twitter.com/nathirhussein/status/742949621278908418
